mode,seed,agents,steps,failures,failure_rate,max_abs_state,mean_abs_state,correction_budget,correction_events,latency_ms,final_instability
continuous_supervision,19,5000,1000,0,0.0,0.7198874518840284,0.1095941781717145,1540279.0,1000,638.7613560073078,0.0
continuous_supervision,20,5000,1000,0,0.0,0.7559752798587961,0.11059350121753657,1537365.0,1000,638.919150995207,0.0002
continuous_supervision,21,5000,1000,0,0.0,0.6689684772065018,0.10765401464269198,1538826.0,1000,638.8484610070009,0.0
continuous_supervision,22,5000,1000,0,0.0,0.8367760775808974,0.10851454445638073,1537419.0,1000,638.3280680020107,0.0002
continuous_supervision,23,5000,1000,0,0.0,0.5482512171357973,0.10778162750667296,1541135.0,1000,639.0299359918572,0.0
continuous_supervision,24,5000,1000,0,0.0,0.7223415546516638,0.10842222433763309,1538945.0,1000,638.2677140063606,0.0
continuous_supervision,25,5000,1000,0,0.0,0.6505683482191967,0.10854428840226751,1539714.0,1000,638.0700779991457,0.0
continuous_supervision,26,5000,1000,0,0.0,0.5352940897308541,0.10656003675487104,1539573.0,1000,638.1623039924307,0.0
continuous_supervision,27,5000,1000,0,0.0,0.6187720488790979,0.10836953958978104,1539508.0,1000,638.592069997685,0.0
continuous_supervision,28,5000,1000,0,0.0,0.6009401287257693,0.10861802292529837,1537781.0,1000,638.3142090053298,0.0
continuous_supervision,29,5000,1000,0,0.0,0.7407527264928444,0.11025340797820672,1539420.0,1000,638.4566750057274,0.0
continuous_supervision,30,5000,1000,0,0.0,0.7050879272604955,0.11051476314839574,1540806.0,1000,639.0014839998912,0.0
continuous_supervision,31,5000,1000,0,0.0,0.6485744664737575,0.1105090651521844,1539436.0,1000,638.6455729953013,0.0
continuous_supervision,32,5000,1000,0,0.0,0.7061266945506824,0.10652260964662942,1540931.0,1000,638.1086050096201,0.0
continuous_supervision,33,5000,1000,0,0.0,0.6660488610622891,0.10894102532313232,1539551.0,1000,638.0467470007716,0.0
continuous_supervision,34,5000,1000,0,0.0,0.6265370975646057,0.10627439340174856,1539574.0,1000,638.4256970050046,0.0
continuous_supervision,35,5000,1000,0,0.0,0.6965231024294194,0.11038242408860353,1539182.0,1000,638.1051469943486,0.0
continuous_supervision,36,5000,1000,0,0.0,0.6618378703860164,0.10779726507150812,1537931.0,1000,638.568034992204,0.0
continuous_supervision,37,5000,1000,0,0.0,0.7951479841887659,0.10855536562198788,1538070.0,1000,638.7533490051283,0.0002
continuous_supervision,38,5000,1000,0,0.0,0.4816792160599257,0.10955257122212002,1540526.0,1000,639.3182860047091,0.0
